serial_nr,stationid,stationname,state,agency,vertical_datum,lat_moved,lon_moved,navd_to_msl,lat_orig,lon_orig
51,8637689,Yorktown USGS Training Center,VA,NOAA_NOS,MSL,37.2265,-76.4788,0.25,37.2265,-76.4788
52,8638610,Sewells Point,VA,NOAA_NOS,MSL,36.94667,-76.33,0.25,36.94667,-76.33
53,8638901,CBBT Chesapeake Channel,VA,NOAA_NOS,MSL,37.033333,-76.083333,0.421,37.033333,-76.083333
54,8639348,Money Point,VA,NOAA_NOS,MSL,36.7783,-76.3017,0.197,36.7783,-76.3017
55,8651370,Duck Pier,NC,NOAA_NOS,MSL,36.18333,-75.74667,0.42,36.18333,-75.74667
56,8652587,Oregon Inlet Marina,NC,NOAA_NOS,MSL,35.795,-75.553198,0.12,35.795,-75.5483
57,8654467,USCG Hatteras,NC,NOAA_NOS,MSL,35.212708,-75.70417,0.11,35.20864,-75.70417
58,8656483,Beaufort,NC,NOAA_NOS,MSL,34.72,-76.67,0.37,34.72,-76.67
59,8658120,Wilmington,NC,NOAA_NOS,MSL,34.2275,-77.952628,0.16,34.2275,-77.95361
60,8658163,Wrightsville Beach,NC,NOAA_NOS,MSL,34.21331,-77.784973,0.56,34.21331,-77.78669
61,8661070,Springmaid Pier,SC,NOAA_NOS,MSL,33.655,-78.916384,0.45,33.655,-78.9183
62,8662245,Oyster Landing (N. Inlet Estuary),SC,NOAA_NOS,MSL,33.3517,-79.1867,0.02,33.3517,-79.1867
63,8665530,Charleston Harbor,SC,NOAA_NOS,MSL,32.7817,-79.922178,0.22,32.7817,-79.925
64,8670870,Fort Pulaski,GA,NOAA_NOS,MSL,32.034612,-80.9017,0.23,32.0367,-80.9017
65,8720030,Fernandina Beach,FL,NOAA_NOS,MSL,30.6717,-81.466768,0.53,30.6717,-81.465
66,8720218,Mayport (Bar Pilots Dock),FL,NOAA_NOS,MSL,30.3967,-81.43,0.52,30.3967,-81.43
67,8720219,Dames Point,FL,NOAA_NOS,MSL,30.3867,-81.5583,0.36,30.3867,-81.5583
68,8720226,Southbank Riverwalk St Johns River,FL,NOAA_NOS,MSL,30.32,-81.6583,0.24,30.32,-81.6583
69,8720357,I-295 Bridge St Johns River,FL,NOAA_NOS,MSL,30.1917,-81.688438,0.12,30.1917,-81.6917
70,8720625,Racy Point St Johns River,FL,NOAA_NOS,MSL,29.801667,-81.548333,-0.04,29.801667,-81.548333
71,8721604,Trident Pier,FL,NOAA_NOS,MSL,28.41583,-80.593527,0.95,28.41583,-80.59306
72,8722670,Lake Worth Pier,FL,NOAA_NOS,MSL,26.61278,-80.03417,0.97,26.61278,-80.03417
73,8722956,South Port Everglades,FL,NOAA_NOS,MSL,26.0817,-80.1167,0.85,26.0817,-80.1167
74,8723214,Virginia Key,FL,NOAA_NOS,MSL,25.731155,-80.1618,0.9,25.7314,-80.1618
75,8723970,Vaca Key,FL,NOAA_NOS,MSL,24.7117,-81.105,0.83,24.7117,-81.105
76,8724580,Key West,FL,NOAA_NOS,MSL,24.55083,-81.808677,0.87,24.55083,-81.80806
77,8725110,Naples,FL,NOAA_NOS,MSL,26.13167,-81.809918,0.62,26.13167,-81.80747
78,8725520,Fort Myers,FL,NOAA_NOS,MSL,26.6467,-81.8717,0.41,26.6467,-81.8717
79,8726384,Port Manatee,FL,NOAA_NOS,MSL,27.63833,-82.5625,0.38,27.63833,-82.5625
80,8726520,St. Petersburg Tampa Bay,FL,NOAA_NOS,MSL,27.7606,-82.6269,0.28,27.7606,-82.6269
81,8726607,Old Port Tampa,FL,NOAA_NOS,MSL,27.85778,-82.55269,0.2752,27.85778,-82.55269
82,8726667,Mckay Bay Entrance,FL,NOAA_NOS,MSL,27.91333,-82.425,0.21,27.91333,-82.425
83,8726724,Clearwater Beach,FL,NOAA_NOS,MSL,27.9783,-82.8317,0.29,27.9783,-82.8317
84,8727520,Cedar Key,FL,NOAA_NOS,MSL,29.13361,-83.03089,0.22,29.13361,-83.03089
85,8728690,Apalachicola,FL,NOAA_NOS,MSL,29.7267,-84.9817,-0.15,29.7267,-84.9817
86,8729108,Panama City,FL,NOAA_NOS,MSL,30.1517,-85.6667,-0.109,30.1517,-85.6667
87,8729210,Panama City Beach,FL,NOAA_NOS,MSL,30.21331,-85.87831,-0.099,30.21331,-85.87831
88,8729840,Pensacola,FL,NOAA_NOS,MSL,30.4033,-87.2117,-0.3,30.4033,-87.2117
89,8732828,Weeks Bay Mobile Bay,AL,NOAA_NOS,MSL,30.41689,-87.82539,,30.41689,-87.82539
90,8735180,Dauphin Island,AL,NOAA_NOS,MSL,30.25,-88.073412,-0.06,30.25,-88.075
91,8735391,Dog River Bridge,AL,NOAA_NOS,MSL,30.56517,-88.088,-0.4531,30.56517,-88.088
92,8735523,East Fowl River Bridge,AL,NOAA_NOS,MSL,30.44369,-88.11392,-0.08,30.44369,-88.11392
93,8736897,Coast Guard Sector Mobile,AL,NOAA_NOS,MSL,30.64831,-88.055419,-0.31,30.64831,-88.05831
94,8737048,Mobile State Docks,AL,NOAA_NOS,MSL,30.7083,-88.039302,-0.33,30.7083,-88.0433
95,8737138,Chickasaw Creek,AL,NOAA_NOS,MSL,30.78189,-88.07361,,30.78189,-88.07361
96,8738043,West Fowl River Bridge,AL,NOAA_NOS,MSL,30.37664,-88.15856,-0.07,30.37664,-88.15856
97,8739803,Bayou La Batre Bridge,AL,NOAA_NOS,MSL,30.40567,-88.24769,-0.1,30.40567,-88.24769
98,8740166,Grand Bay NERR Mississippi Sound,MS,NOAA_NOS,MSL,30.413,-88.40272,-0.17,30.413,-88.40272
99,8741041,Dock E Port of Pascagoula,MS,NOAA_NOS,MSL,30.3477,-88.5054,,30.3477,-88.5054
100,8741533,Pascagoula NOAA Lab,MS,NOAA_NOS,MSL,30.36778,-88.56306,-0.13,30.36778,-88.56306
101,8747437,Bay Waveland Yacht Club,MS,NOAA_NOS,MSL,30.32639,-89.32578,-0.2,30.32639,-89.32578
102,8760721,Pilottown,LA,NOAA_NOS,MSL,29.17831,-89.25831,-0.7764,29.17831,-89.25831
103,8760922,Pilots Station East SW Pass,LA,NOAA_NOS,MSL,28.931667,-89.406667,-1.03,28.931667,-89.406667
104,8761305,Shell Beach,LA,NOAA_NOS,MSL,29.870579,-89.678981,-0.03,29.86811,-89.67325
105,8761724,Grand Isle,LA,NOAA_NOS,MSL,29.26333,-89.95667,-0.1822,29.26333,-89.95667
106,8761927,New Canal Station,LA,NOAA_NOS,MSL,30.02722,-90.11333,-0.2178,30.02722,-90.11333
107,8761955,Carrollton,LA,NOAA_NOS,MSL,29.93289,-90.137257,,29.93289,-90.13547
108,8762075,Port Fourchon Belle Pass,LA,NOAA_NOS,MSL,29.1142,-90.1993,,29.1142,-90.1993
109,8762482,West Bank 1 Bayou Gauche,LA,NOAA_NOS,MSL,29.78861,-90.42028,-0.72,29.78861,-90.42028
110,8762483,I-10 Bonnet Carre Floodway,LA,NOAA_NOS,MSL,30.068333,-90.39,-0.3712,30.068333,-90.39
111,8764044,Berwick Atchafalaya River,LA,NOAA_NOS,MSL,29.6675,-91.23761,-1.6235,29.6675,-91.23761
112,8764227,LAWMA Amerada Pass,LA,NOAA_NOS,MSL,29.44961,-91.33811,-0.356,29.44961,-91.33811
113,8764314,Eugene Island North,LA,NOAA_NOS,MSL,29.3675,-91.3839,-0.3594,29.3675,-91.3839
114,8766072,Freshwater Canal Locks,LA,NOAA_NOS,MSL,29.555,-92.305,,29.555,-92.305
115,8767816,Lake Charles,LA,NOAA_NOS,MSL,30.22364,-93.22167,-0.3097,30.22364,-93.22167
116,8767961,Bulk Terminal,LA,NOAA_NOS,MSL,30.19019,-93.30081,-0.3804,30.19019,-93.30081
117,8768094,Calcasieu Pass,LA,NOAA_NOS,MSL,29.76817,-93.34289,-0.42,29.76817,-93.34289
118,8770570,Sabine Pass North,TX,NOAA_NOS,MSL,29.7284,-93.86811,-1.3866,29.7284,-93.8701
119,8770613,Morgans Point,TX,NOAA_NOS,MSL,29.681815,-94.985,-0.61,29.6817,-94.985
120,8771013,Eagle Point,TX,NOAA_NOS,MSL,29.48,-94.914538,-0.5962,29.48,-94.9183
121,8771450,Galveston Pier 21,TX,NOAA_NOS,MSL,29.310924,-94.7933,-0.69,29.31,-94.7933
122,8772447,Freeport,TX,NOAA_NOS,MSL,28.942452,-95.3025,-0.517,28.94331,-95.3025
123,8773767,Matagorda Bay Entrance Channel,TX,NOAA_NOS,MSL,28.4269,-96.3301,-0.295,28.4269,-96.3301
124,8774770,Rockport,TX,NOAA_NOS,MSL,28.02167,-97.046079,-1.12,28.02167,-97.04667
125,8775870,Bob Hall Pier Corpus Christi,TX,NOAA_NOS,MSL,27.58,-97.2167,-0.48,27.58,-97.2167
126,8779770,Port Isabel,TX,NOAA_NOS,MSL,26.06,-97.215,0.04,26.06,-97.215
127,9751364,Christiansted Harbor St Croix,VI,NOAA_NOS,MSL,17.752867,-64.705,0.0033,17.75,-64.705
128,9751381,Lameshur Bay St. John,VI,NOAA_NOS,MSL,18.312609,-64.727833,-0.0053,18.31825,-64.72422
129,9751401,Lime Tree Bay,VI,NOAA_NOS,MSL,17.69472,-64.75381,-0.0001,17.69472,-64.75381
130,9751639,Charlotte Amalie,VI,NOAA_NOS,MSL,18.33583,-64.921,-0.4577,18.33583,-64.92
131,9752235,Culebra,PR,NOAA_NOS,MSL,18.299317,-65.302997,0.3567,18.30086,-65.30247
132,9752695,Esperanza Vieques Island,PR,NOAA_NOS,MSL,18.088886,-65.47136,0.0098,18.09386,-65.47136
133,9755371,San Juan,PR,NOAA_NOS,MSL,18.458357,-66.11642,0.0,18.45894,-66.11642
134,9759110,Magueyes Island,PR,NOAA_NOS,MSL,17.97,-67.04639,-0.223,17.97,-67.04639
135,9759394,Mayaguez,PR,NOAA_NOS,MSL,18.215469,-67.162142,-0.1398,18.21756,-67.15883
136,9759938,Mona Island,PR,NOAA_NOS,MSL,18.08992,-67.9385,-0.5067,18.08992,-67.9385
137,9761115,Barbuda,AG,NOAA_NOS,MSL,17.581904,-61.82056,,17.59069,-61.82056
